post_id,GPT4o_mini,GPT4o,Llama3_3_70B,Llama3_1_8B,Claude_Sonnet_4_5,Claude_Haiku_4_5
8ie8i5,HUMANITARIAN,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
dz4082,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,ECONOMIC
68nhdm,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
e7sj29,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
7g8dcp,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
a3z0mw,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dil8y6,NEUTRAL,NEUTRAL,THREAT,,NEUTRAL,NEUTRAL
a9z4fi,NEUTRAL,THREAT,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
83emk4,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
dhrz0q,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
5zca7k,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
70ypxj,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cplg57,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9xb3qx,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
cgz55d,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
78p82i,HUMANITARIAN,DIPLOMACY,HUMANITARIAN,DIPLOMACY,NEUTRAL,NEUTRAL
94wrse,HUMANITARIAN,NEUTRAL,HUMANITARIAN,DIPLOMACY,NEUTRAL,NEUTRAL
8s5u4g,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
ce135t,THREAT,ECONOMIC,THREAT,THREAT,ECONOMIC,NEUTRAL
6l55rp,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8w7tdb,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dlv9an,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ar0ycy,NEUTRAL,,NEUTRAL,,NEUTRAL,NEUTRAL
b06smf,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,NEUTRAL,HUMANITARIAN
c9b59h,THREAT,ECONOMIC,THREAT,THREAT,THREAT,THREAT
8hxv4f,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
azxils,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9b4mg3,NEUTRAL,NEUTRAL,ECONOMIC,DIPLOMACY,NEUTRAL,NEUTRAL
81i7xv,NEUTRAL,NEUTRAL,THREAT,,NEUTRAL,NEUTRAL
66m6ui,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8k4wab,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ck2w0l,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8fre42,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
753mqc,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6fust8,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8wj3oo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
5tlz23,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
c85otx,DIPLOMACY,DIPLOMACY,DIPLOMACY,,DIPLOMACY,NEUTRAL
cl6j4z,ECONOMIC,ECONOMIC,THREAT,THREAT,THREAT,ECONOMIC
e00flb,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7u8mxm,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
87peo5,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
cr1yb1,HUMANITARIAN,THREAT,THREAT,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN
7g0r87,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8bxn1m,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
b5nhlb,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
adq373,DIPLOMACY,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,NEUTRAL
7d6hqh,THREAT,THREAT,THREAT,THREAT,THREAT,HUMANITARIAN
egwg2e,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7vjtye,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
bz810b,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
707aae,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8bmuvu,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
87pe8t,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
a1vgeq,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8qkkab,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
cpjzg5,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,THREAT,THREAT
7diw87,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7mv8l6,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8dyzxz,THREAT,THREAT,THREAT,DIPLOMACY,DIPLOMACY,NEUTRAL
6h67bi,NEUTRAL,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL
91t2f2,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL
b04bcr,THREAT,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7uqjxg,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6ynsta,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
91zei7,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
dc5v99,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
65o0zu,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
639oz7,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
av1aj7,NEUTRAL,DIPLOMACY,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY
6wrezk,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
683qa7,ECONOMIC,ECONOMIC,ECONOMIC,THREAT,ECONOMIC,ECONOMIC
atva9d,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
cwx6nc,NEUTRAL,NEUTRAL,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
a6syj7,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
a7mkvf,ECONOMIC,THREAT,THREAT,THREAT,THREAT,ECONOMIC
9g6nre,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7k23qv,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
5p0x40,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7k23zo,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
957gc9,NEUTRAL,NEUTRAL,HUMANITARIAN,HUMANITARIAN,NEUTRAL,DIPLOMACY
e83u00,ECONOMIC,DIPLOMACY,ECONOMIC,DIPLOMACY,DIPLOMACY,NEUTRAL
9glg2h,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
aeg0vu,NEUTRAL,ECONOMIC,THREAT,THREAT,NEUTRAL,THREAT
e6nqmv,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
70ji6h,ECONOMIC,ECONOMIC,THREAT,ECONOMIC,ECONOMIC,ECONOMIC
68ihv9,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
6a4u0j,THREAT,THREAT,THREAT,DIPLOMACY,THREAT,THREAT
cmimbh,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7tozu5,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6q4j4f,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6y88vu,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8kbz3f,NEUTRAL,DIPLOMACY,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL
8fnxlm,NEUTRAL,THREAT,THREAT,DIPLOMACY,DIPLOMACY,NEUTRAL
7k7tms,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bemtax,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
7gcroq,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
aqu589,NEUTRAL,ECONOMIC,ECONOMIC,NEUTRAL,ECONOMIC,NEUTRAL
akbwve,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8esxe6,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7in8au,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7wxx7y,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
9l1v81,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,THREAT,HUMANITARIAN,HUMANITARIAN
6bbo70,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,NEUTRAL,HUMANITARIAN,HUMANITARIAN
dvabsz,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN
6bfckw,HUMANITARIAN,HUMANITARIAN,HUMANITARIAN,NEUTRAL,HUMANITARIAN,HUMANITARIAN
706ptv,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
5tug0p,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7qr9vm,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8la6sx,NEUTRAL,THREAT,THREAT,THREAT,THREAT,NEUTRAL
8du18d,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7o9nj9,THREAT,THREAT,THREAT,,THREAT,THREAT
92kvl6,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
disaa7,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
6zfwd2,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
7nn4b1,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7rymho,THREAT,THREAT,THREAT,DIPLOMACY,NEUTRAL,NEUTRAL
c9qlwg,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
acl2vo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
81gm4s,NEUTRAL,NEUTRAL,NEUTRAL,HUMANITARIAN,NEUTRAL,NEUTRAL
ctvz3q,DIPLOMACY,THREAT,THREAT,THREAT,THREAT,THREAT
72an40,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cyjv6l,NEUTRAL,NEUTRAL,THREAT,THREAT,NEUTRAL,NEUTRAL
9sxdaq,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
76uzsq,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7vhmml,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cz3h79,THREAT,THREAT,THREAT,,THREAT,NEUTRAL
5mwvv7,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
5qxka6,NEUTRAL,NEUTRAL,,,NEUTRAL,NEUTRAL
8r1mpp,DIPLOMACY,DIPLOMACY,THREAT,HUMANITARIAN,DIPLOMACY,NEUTRAL
b4r34k,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
bkfygb,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
ci1hul,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7ndu1i,NEUTRAL,NEUTRAL,NEUTRAL,,NEUTRAL,NEUTRAL
8kee64,NEUTRAL,NEUTRAL,ECONOMIC,ECONOMIC,NEUTRAL,NEUTRAL
bw6fnm,THREAT,NEUTRAL,NEUTRAL,DIPLOMACY,DIPLOMACY,NEUTRAL
724hga,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7m5wm8,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8jiph8,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
af8vpz,NEUTRAL,THREAT,NEUTRAL,NEUTRAL,THREAT,NEUTRAL
8v6r0u,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8u9ybk,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7tuf68,NEUTRAL,NEUTRAL,THREAT,,NEUTRAL,NEUTRAL
cjsuo5,NEUTRAL,NEUTRAL,ECONOMIC,,NEUTRAL,NEUTRAL
af6bcj,ECONOMIC,ECONOMIC,THREAT,THREAT,THREAT,THREAT
9wd9a4,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9dzd5d,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8wj0uu,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
868f9k,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
cuval5,THREAT,THREAT,NEUTRAL,THREAT,THREAT,NEUTRAL
e9v5mn,ECONOMIC,NEUTRAL,NEUTRAL,ECONOMIC,NEUTRAL,ECONOMIC
8m1q7f,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
eafnpq,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
bxie9o,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7ghytl,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8ahwmo,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
d71g5e,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
chgu1a,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6r29t1,THREAT,THREAT,THREAT,,THREAT,THREAT
91zgyq,NEUTRAL,THREAT,THREAT,THREAT,THREAT,THREAT
686xj4,DIPLOMACY,THREAT,THREAT,THREAT,DIPLOMACY,DIPLOMACY
cdydjy,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
71ruxn,NEUTRAL,THREAT,NEUTRAL,THREAT,NEUTRAL,NEUTRAL
6trj5k,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8bmt8m,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8faazw,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
60plh2,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6cvrrg,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
bgpvoz,NEUTRAL,NEUTRAL,NEUTRAL,ECONOMIC,ECONOMIC,NEUTRAL
7qjlna,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
beedq2,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
83ggyx,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
cl46v9,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8beb9i,DIPLOMACY,DIPLOMACY,THREAT,NEUTRAL,NEUTRAL,NEUTRAL
b97n3v,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7uyjte,THREAT,THREAT,THREAT,DIPLOMACY,THREAT,THREAT
cmsysw,NEUTRAL,NEUTRAL,NEUTRAL,ECONOMIC,NEUTRAL,NEUTRAL
dzgg67,NEUTRAL,DIPLOMACY,DIPLOMACY,DIPLOMACY,NEUTRAL,NEUTRAL
9h4764,THREAT,THREAT,THREAT,DIPLOMACY,DIPLOMACY,DIPLOMACY
8qj4t7,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
7grhsz,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
cnxrq6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
68t1bo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8dlgb6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6lzupj,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
9mf8sn,DIPLOMACY,THREAT,THREAT,THREAT,DIPLOMACY,THREAT
e2wu95,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
agce2q,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
7gbezo,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
880enu,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
7o1h69,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
6z1eay,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8l0taq,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
8b5mqy,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
6sih3a,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
83guey,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8tkcno,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY,DIPLOMACY
8jcu0z,THREAT,THREAT,THREAT,THREAT,DIPLOMACY,THREAT
8l8hy6,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8h2aoa,DIPLOMACY,THREAT,DIPLOMACY,DIPLOMACY,THREAT,THREAT
9wlidz,THREAT,THREAT,THREAT,THREAT,THREAT,NEUTRAL
79vc0o,THREAT,THREAT,HUMANITARIAN,THREAT,THREAT,THREAT
8v79a9,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8ls1bc,THREAT,THREAT,NEUTRAL,NEUTRAL,DIPLOMACY,NEUTRAL
8nfym5,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC,ECONOMIC
bqz7af,NEUTRAL,NEUTRAL,HUMANITARIAN,DIPLOMACY,NEUTRAL,HUMANITARIAN
6wtamm,THREAT,THREAT,THREAT,THREAT,THREAT,THREAT
8t910e,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
7tas5t,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
c6qqyp,THREAT,THREAT,THREAT,HUMANITARIAN,THREAT,THREAT
