level,frame,confidence,period
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,DIPLOMACY,0.9,P3_Recursive
1,DIPLOMACY,0.8,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,ECONOMIC,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,ECONOMIC,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,ECONOMIC,0.9,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.8,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,DIPLOMACY,0.95,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.95,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.8,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.8,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,DIPLOMACY,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,THREAT,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,HUMANITARIAN,0.9,P3_Recursive
1,DIPLOMACY,0.8,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,THREAT,0.9,P3_Recursive
1,NEUTRAL,0.9,P3_Recursive
1,HUMANITARIAN,0.85,P3_Recursive
1,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,DIPLOMACY,0.85,P3_Recursive
0,THREAT,0.85,P3_Recursive
0,THREAT,0.85,P3_Recursive
0,DIPLOMACY,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,THREAT,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.8,P3_Recursive
0,NEUTRAL,0.8,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,DIPLOMACY,0.85,P3_Recursive
0,THREAT,0.85,P3_Recursive
0,HUMANITARIAN,0.85,P3_Recursive
0,HUMANITARIAN,0.85,P3_Recursive
0,NEUTRAL,0.9,P3_Recursive
0,NEUTRAL,0.9,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.9,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,DIPLOMACY,0.85,P3_Recursive
0,NEUTRAL,0.9,P3_Recursive
0,THREAT,0.85,P3_Recursive
0,NEUTRAL,0.9,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,NEUTRAL,0.85,P3_Recursive
0,DIPLOMACY,0.9,P3_Recursive
0,DIPLOMACY,0.85,P3_Recursive
0,HUMANITARIAN,0.9,P3_Recursive
